"Statistic Label","Year","Area","UNIT","VALUE"
"New House Prices","1975","National","Euro","13254"
"New House Prices","1975","Dublin","Euro","13137"
"New House Prices","1975","Cork","Euro","12921"
"New House Prices","1975","Galway","Euro","14420"
"New House Prices","1975","Limerick","Euro","13594"
"New House Prices","1975","Waterford","Euro","12636"
"New House Prices","1975","Other areas","Euro","13833"
"New House Prices","1976","National","Euro","15564"
"New House Prices","1976","Dublin","Euro","15342"
"New House Prices","1976","Cork","Euro","15347"
"New House Prices","1976","Galway","Euro","17842"
"New House Prices","1976","Limerick","Euro","15279"
"New House Prices","1976","Waterford","Euro","13900"
"New House Prices","1976","Other areas","Euro","15361"
"New House Prices","1977","National","Euro","18754"
"New House Prices","1977","Dublin","Euro","19055"
"New House Prices","1977","Cork","Euro","18652"
"New House Prices","1977","Galway","Euro","21715"
"New House Prices","1977","Limerick","Euro","19992"
"New House Prices","1977","Waterford","Euro","17296"
"New House Prices","1977","Other areas","Euro","18025"
"New House Prices","1978","National","Euro","24082"
"New House Prices","1978","Dublin","Euro","25745"
"New House Prices","1978","Cork","Euro","22460"
"New House Prices","1978","Galway","Euro","26244"
"New House Prices","1978","Limerick","Euro","23077"
"New House Prices","1978","Waterford","Euro","21295"
"New House Prices","1978","Other areas","Euro","22839"
"New House Prices","1979","National","Euro","29387"
"New House Prices","1979","Dublin","Euro","32005"
"New House Prices","1979","Cork","Euro","29064"
"New House Prices","1979","Galway","Euro","30466"
"New House Prices","1979","Limerick","Euro","30538"
"New House Prices","1979","Waterford","Euro","27164"
"New House Prices","1979","Other areas","Euro","27137"
"New House Prices","1980","National","Euro","34967"
"New House Prices","1980","Dublin","Euro","37822"
"New House Prices","1980","Cork","Euro","34617"
"New House Prices","1980","Galway","Euro","33839"
"New House Prices","1980","Limerick","Euro","34340"
"New House Prices","1980","Waterford","Euro","32136"
"New House Prices","1980","Other areas","Euro","32663"
"New House Prices","1981","National","Euro","40167"
"New House Prices","1981","Dublin","Euro","44456"
"New House Prices","1981","Cork","Euro","35464"
"New House Prices","1981","Galway","Euro","39729"
"New House Prices","1981","Limerick","Euro","41520"
"New House Prices","1981","Waterford","Euro","34638"
"New House Prices","1981","Other areas","Euro","37857"
"New House Prices","1982","National","Euro","44060"
"New House Prices","1982","Dublin","Euro","48886"
"New House Prices","1982","Cork","Euro","38213"
"New House Prices","1982","Galway","Euro","45460"
"New House Prices","1982","Limerick","Euro","40195"
"New House Prices","1982","Waterford","Euro","41741"
"New House Prices","1982","Other areas","Euro","42889"
"New House Prices","1983","National","Euro","44448"
"New House Prices","1983","Dublin","Euro","48169"
"New House Prices","1983","Cork","Euro","39223"
"New House Prices","1983","Galway","Euro","45650"
"New House Prices","1983","Limerick","Euro","41430"
"New House Prices","1983","Waterford","Euro","42132"
"New House Prices","1983","Other areas","Euro","43501"
"New House Prices","1984","National","Euro","45419"
"New House Prices","1984","Dublin","Euro","48819"
"New House Prices","1984","Cork","Euro","41105"
"New House Prices","1984","Galway","Euro","45774"
"New House Prices","1984","Limerick","Euro","42944"
"New House Prices","1984","Waterford","Euro","44115"
"New House Prices","1984","Other areas","Euro","43654"
"New House Prices","1985","National","Euro","46542"
"New House Prices","1985","Dublin","Euro","49166"
"New House Prices","1985","Cork","Euro","42738"
"New House Prices","1985","Galway","Euro","49004"
"New House Prices","1985","Limerick","Euro","44511"
"New House Prices","1985","Waterford","Euro","43741"
"New House Prices","1985","Other areas","Euro","45058"
"New House Prices","1986","National","Euro","48256"
"New House Prices","1986","Dublin","Euro","50891"
"New House Prices","1986","Cork","Euro","43844"
"New House Prices","1986","Galway","Euro","49804"
"New House Prices","1986","Limerick","Euro","47222"
"New House Prices","1986","Waterford","Euro","47928"
"New House Prices","1986","Other areas","Euro","46486"
"New House Prices","1987","National","Euro","48151"
"New House Prices","1987","Dublin","Euro","50864"
"New House Prices","1987","Cork","Euro","45846"
"New House Prices","1987","Galway","Euro","48162"
"New House Prices","1987","Limerick","Euro","46946"
"New House Prices","1987","Waterford","Euro","46966"
"New House Prices","1987","Other areas","Euro","45740"
"New House Prices","1988","National","Euro","52450"
"New House Prices","1988","Dublin","Euro","57994"
"New House Prices","1988","Cork","Euro","49605"
"New House Prices","1988","Galway","Euro","52238"
"New House Prices","1988","Limerick","Euro","53296"
"New House Prices","1988","Waterford","Euro","47531"
"New House Prices","1988","Other areas","Euro","47380"
"New House Prices","1989","National","Euro","58178"
"New House Prices","1989","Dublin","Euro","68393"
"New House Prices","1989","Cork","Euro","54670"
"New House Prices","1989","Galway","Euro","57936"
"New House Prices","1989","Limerick","Euro","54732"
"New House Prices","1989","Waterford","Euro","50506"
"New House Prices","1989","Other areas","Euro","51355"
"New House Prices","1990","National","Euro","65541"
"New House Prices","1990","Dublin","Euro","80749"
"New House Prices","1990","Cork","Euro","61074"
"New House Prices","1990","Galway","Euro","68019"
"New House Prices","1990","Limerick","Euro","62258"
"New House Prices","1990","Waterford","Euro","53904"
"New House Prices","1990","Other areas","Euro","55729"
"New House Prices","1991","National","Euro","66914"
"New House Prices","1991","Dublin","Euro","78715"
"New House Prices","1991","Cork","Euro","64651"
"New House Prices","1991","Galway","Euro","66784"
"New House Prices","1991","Limerick","Euro","64598"
"New House Prices","1991","Waterford","Euro","53366"
"New House Prices","1991","Other areas","Euro","58645"
"New House Prices","1992","National","Euro","69264"
"New House Prices","1992","Dublin","Euro","79200"
"New House Prices","1992","Cork","Euro","65107"
"New House Prices","1992","Galway","Euro","75417"
"New House Prices","1992","Limerick","Euro","60184"
"New House Prices","1992","Waterford","Euro","52656"
"New House Prices","1992","Other areas","Euro","62433"
"New House Prices","1993","National","Euro","69883"
"New House Prices","1993","Dublin","Euro","75539"
"New House Prices","1993","Cork","Euro","68172"
"New House Prices","1993","Galway","Euro","74761"
"New House Prices","1993","Limerick","Euro","66825"
"New House Prices","1993","Waterford","Euro","61341"
"New House Prices","1993","Other areas","Euro","65025"
"New House Prices","1994","National","Euro","72732"
"New House Prices","1994","Dublin","Euro","81993"
"New House Prices","1994","Cork","Euro","71378"
"New House Prices","1994","Galway","Euro","77375"
"New House Prices","1994","Limerick","Euro","68238"
"New House Prices","1994","Waterford","Euro","69185"
"New House Prices","1994","Other areas","Euro","66829"
"New House Prices","1995","National","Euro","77994"
"New House Prices","1995","Dublin","Euro","86671"
"New House Prices","1995","Cork","Euro","76608"
"New House Prices","1995","Galway","Euro","87783"
"New House Prices","1995","Limerick","Euro","73348"
"New House Prices","1995","Waterford","Euro","69950"
"New House Prices","1995","Other areas","Euro","71829"
"New House Prices","1996","National","Euro","87202"
"New House Prices","1996","Dublin","Euro","97058"
"New House Prices","1996","Cork","Euro","85351"
"New House Prices","1996","Galway","Euro","93050"
"New House Prices","1996","Limerick","Euro","83281"
"New House Prices","1996","Waterford","Euro","79784"
"New House Prices","1996","Other areas","Euro","82091"
"New House Prices","1997","National","Euro","102222"
"New House Prices","1997","Dublin","Euro","122036"
"New House Prices","1997","Cork","Euro","96046"
"New House Prices","1997","Galway","Euro","109905"
"New House Prices","1997","Limerick","Euro","91077"
"New House Prices","1997","Waterford","Euro","91608"
"New House Prices","1997","Other areas","Euro","94664"
"New House Prices","1998","National","Euro","125302"
"New House Prices","1998","Dublin","Euro","160699"
"New House Prices","1998","Cork","Euro","112133"
"New House Prices","1998","Galway","Euro","118738"
"New House Prices","1998","Limerick","Euro","104248"
"New House Prices","1998","Waterford","Euro","107954"
"New House Prices","1998","Other areas","Euro","116589"
"New House Prices","1999","National","Euro","148521"
"New House Prices","1999","Dublin","Euro","193526"
"New House Prices","1999","Cork","Euro","141007"
"New House Prices","1999","Galway","Euro","138928"
"New House Prices","1999","Limerick","Euro","121880"
"New House Prices","1999","Waterford","Euro","132050"
"New House Prices","1999","Other areas","Euro","136970"
"New House Prices","2000","National","Euro","169191"
"New House Prices","2000","Dublin","Euro","221724"
"New House Prices","2000","Cork","Euro","166557"
"New House Prices","2000","Galway","Euro","163824"
"New House Prices","2000","Limerick","Euro","145834"
"New House Prices","2000","Waterford","Euro","145713"
"New House Prices","2000","Other areas","Euro","154050"
"New House Prices","2001","National","Euro","182863"
"New House Prices","2001","Dublin","Euro","243095"
"New House Prices","2001","Cork","Euro","174550"
"New House Prices","2001","Galway","Euro","171161"
"New House Prices","2001","Limerick","Euro","152205"
"New House Prices","2001","Waterford","Euro","155488"
"New House Prices","2001","Other areas","Euro","166834"
"New House Prices","2002","National","Euro","198087"
"New House Prices","2002","Dublin","Euro","256109"
"New House Prices","2002","Cork","Euro","184369"
"New House Prices","2002","Galway","Euro","187607"
"New House Prices","2002","Limerick","Euro","168574"
"New House Prices","2002","Waterford","Euro","167272"
"New House Prices","2002","Other areas","Euro","179936"
"New House Prices","2003","National","Euro","224567"
"New House Prices","2003","Dublin","Euro","291646"
"New House Prices","2003","Cork","Euro","211980"
"New House Prices","2003","Galway","Euro","223388"
"New House Prices","2003","Limerick","Euro","197672"
"New House Prices","2003","Waterford","Euro","195173"
"New House Prices","2003","Other areas","Euro","203125"
"New House Prices","2004","National","Euro","249191"
"New House Prices","2004","Dublin","Euro","322628"
"New House Prices","2004","Cork","Euro","237858"
"New House Prices","2004","Galway","Euro","242218"
"New House Prices","2004","Limerick","Euro","210868"
"New House Prices","2004","Waterford","Euro","220286"
"New House Prices","2004","Other areas","Euro","228057"
"New House Prices","2005","National","Euro","276221"
"New House Prices","2005","Dublin","Euro","350891"
"New House Prices","2005","Cork","Euro","265644"
"New House Prices","2005","Galway","Euro","274905"
"New House Prices","2005","Limerick","Euro","226393"
"New House Prices","2005","Waterford","Euro","246914"
"New House Prices","2005","Other areas","Euro","254006"
"New House Prices","2006","National","Euro","305637"
"New House Prices","2006","Dublin","Euro","405957"
"New House Prices","2006","Cork","Euro","305015"
"New House Prices","2006","Galway","Euro","286176"
"New House Prices","2006","Limerick","Euro","275411"
"New House Prices","2006","Waterford","Euro","271521"
"New House Prices","2006","Other areas","Euro","276570"
"New House Prices","2007","National","Euro","322634"
"New House Prices","2007","Dublin","Euro","416225"
"New House Prices","2007","Cork","Euro","325453"
"New House Prices","2007","Galway","Euro","300750"
"New House Prices","2007","Limerick","Euro","288202"
"New House Prices","2007","Waterford","Euro","292057"
"New House Prices","2007","Other areas","Euro","296605"
"New House Prices","2008","National","Euro","305269"
"New House Prices","2008","Dublin","Euro","370495"
"New House Prices","2008","Cork","Euro","314276"
"New House Prices","2008","Galway","Euro","292777"
"New House Prices","2008","Limerick","Euro","276719"
"New House Prices","2008","Waterford","Euro","288478"
"New House Prices","2008","Other areas","Euro","282677"
"New House Prices","2009","National","Euro","242033"
"New House Prices","2009","Dublin","Euro","260170"
"New House Prices","2009","Cork","Euro","252011"
"New House Prices","2009","Galway","Euro","236113"
"New House Prices","2009","Limerick","Euro","260684"
"New House Prices","2009","Waterford","Euro","227444"
"New House Prices","2009","Other areas","Euro","231739"
"New House Prices","2010","National","Euro","228268"
"New House Prices","2010","Dublin","Euro","251629"
"New House Prices","2010","Cork","Euro","244333"
"New House Prices","2010","Galway","Euro","219459"
"New House Prices","2010","Limerick","Euro","224778"
"New House Prices","2010","Waterford","Euro","224021"
"New House Prices","2010","Other areas","Euro","218097"
"New House Prices","2011","National","Euro","230303"
"New House Prices","2011","Dublin","Euro","290668"
"New House Prices","2011","Cork","Euro","241502"
"New House Prices","2011","Galway","Euro","229558"
"New House Prices","2011","Limerick","Euro","216307"
"New House Prices","2011","Waterford","Euro","205598"
"New House Prices","2011","Other areas","Euro","216400"
"New House Prices","2012","National","Euro","220415"
"New House Prices","2012","Dublin","Euro","265633"
"New House Prices","2012","Cork","Euro","235473"
"New House Prices","2012","Galway","Euro","219233"
"New House Prices","2012","Limerick","Euro","212902"
"New House Prices","2012","Waterford","Euro","179716"
"New House Prices","2012","Other areas","Euro","207957"
"New House Prices","2013","National","Euro","228216"
"New House Prices","2013","Dublin","Euro","300466"
