"Statistic Label","Year","House Type New or Second hand","UNIT","VALUE"
"Number of House Loans Approved","1970","New houses","Number","7884"
"Number of House Loans Approved","1970","Second-hand houses","Number","4587"
"Number of House Loans Approved","1971","New houses","Number","10626"
"Number of House Loans Approved","1971","Second-hand houses","Number","4692"
"Number of House Loans Approved","1972","New houses","Number","13389"
"Number of House Loans Approved","1972","Second-hand houses","Number","5799"
"Number of House Loans Approved","1973","New houses","Number","15825"
"Number of House Loans Approved","1973","Second-hand houses","Number","4008"
"Number of House Loans Approved","1974","New houses","Number","15309"
"Number of House Loans Approved","1974","Second-hand houses","Number","5507"
"Number of House Loans Approved","1975","New houses","Number","15457"
"Number of House Loans Approved","1975","Second-hand houses","Number","10412"
"Number of House Loans Approved","1976","New houses","Number","13712"
"Number of House Loans Approved","1976","Second-hand houses","Number","11528"
"Number of House Loans Approved","1977","New houses","Number","12508"
"Number of House Loans Approved","1977","Second-hand houses","Number","12032"
"Number of House Loans Approved","1978","New houses","Number","14215"
"Number of House Loans Approved","1978","Second-hand houses","Number","12562"
"Number of House Loans Approved","1979","New houses","Number","15833"
"Number of House Loans Approved","1979","Second-hand houses","Number","14218"
"Number of House Loans Approved","1980","New houses","Number","14651"
"Number of House Loans Approved","1980","Second-hand houses","Number","14077"
"Number of House Loans Approved","1981","New houses","Number","14572"
"Number of House Loans Approved","1981","Second-hand houses","Number","14913"
"Number of House Loans Approved","1982","New houses","Number","12816"
"Number of House Loans Approved","1982","Second-hand houses","Number","14008"
"Number of House Loans Approved","1983","New houses","Number","12715"
"Number of House Loans Approved","1983","Second-hand houses","Number","17542"
"Number of House Loans Approved","1984","New houses","Number","12385"
"Number of House Loans Approved","1984","Second-hand houses","Number","16467"
"Number of House Loans Approved","1985","New houses","Number","11958"
"Number of House Loans Approved","1985","Second-hand houses","Number","19245"
"Number of House Loans Approved","1986","New houses","Number","10682"
"Number of House Loans Approved","1986","Second-hand houses","Number","19409"
"Number of House Loans Approved","1987","New houses","Number","9956"
"Number of House Loans Approved","1987","Second-hand houses","Number","21918"
"Number of House Loans Approved","1988","New houses","Number","9500"
"Number of House Loans Approved","1988","Second-hand houses","Number","33043"
"Number of House Loans Approved","1989","New houses","Number","12791"
"Number of House Loans Approved","1989","Second-hand houses","Number","32299"
"Number of House Loans Approved","1990","New houses","Number","11475"
"Number of House Loans Approved","1990","Second-hand houses","Number","23337"
"Number of House Loans Approved","1991","New houses","Number","12204"
"Number of House Loans Approved","1991","Second-hand houses","Number","24854"
"Number of House Loans Approved","1992","New houses","Number","14695"
"Number of House Loans Approved","1992","Second-hand houses","Number","29738"
"Number of House Loans Approved","1993","New houses","Number","15527"
"Number of House Loans Approved","1993","Second-hand houses","Number","29863"
"Number of House Loans Approved","1994","New houses","Number","18875"
"Number of House Loans Approved","1994","Second-hand houses","Number","31329"
"Number of House Loans Approved","1995","New houses","Number","20675"
"Number of House Loans Approved","1995","Second-hand houses","Number","28613"
"Number of House Loans Approved","1996","New houses","Number","26598"
"Number of House Loans Approved","1996","Second-hand houses","Number","34408"
"Number of House Loans Approved","1997","New houses","Number","30671"
"Number of House Loans Approved","1997","Second-hand houses","Number","33981"
"Number of House Loans Approved","1998","New houses","Number","29220"
"Number of House Loans Approved","1998","Second-hand houses","Number","39705"
"Number of House Loans Approved","1999","New houses","Number","32722"
"Number of House Loans Approved","1999","Second-hand houses","Number","45850"
"Number of House Loans Approved","2000","New houses","Number","33289"
"Number of House Loans Approved","2000","Second-hand houses","Number","47567"
"Number of House Loans Approved","2001","New houses","Number","29277"
"Number of House Loans Approved","2001","Second-hand houses","Number","39785"
"Number of House Loans Approved","2002","New houses","Number","39399"
"Number of House Loans Approved","2002","Second-hand houses","Number","53737"
"Number of House Loans Approved","2003","New houses","Number","39676"
"Number of House Loans Approved","2003","Second-hand houses","Number","58212"
"Number of House Loans Approved","2004","New houses","Number","50018"
"Number of House Loans Approved","2004","Second-hand houses","Number","54287"
"Number of House Loans Approved","2005","New houses","Number","58104"
"Number of House Loans Approved","2005","Second-hand houses","Number","61933"
"Number of House Loans Approved","2006","New houses","Number","53895"
"Number of House Loans Approved","2006","Second-hand houses","Number","60698"
"Number of House Loans Approved","2007","New houses","Number","40497"
"Number of House Loans Approved","2007","Second-hand houses","Number","48250"
"Number of House Loans Approved","2008","New houses","Number","26293"
"Number of House Loans Approved","2008","Second-hand houses","Number","29586"
"Number of House Loans Approved","2009","New houses","Number","12584"
"Number of House Loans Approved","2009","Second-hand houses","Number","15340"
"Number of House Loans Approved","2010","New houses","Number","6991"
"Number of House Loans Approved","2010","Second-hand houses","Number","13030"
"Number of House Loans Approved","2011","New houses","Number","2960"
"Number of House Loans Approved","2011","Second-hand houses","Number","9874"
"Number of House Loans Approved","2012","New houses","Number","3457"
"Number of House Loans Approved","2012","Second-hand houses","Number","14312"
"Number of House Loans Approved","2013","New houses","Number","2974"
"Number of House Loans Approved","2013","Second-hand houses","Number","16284"
"Number of House Loans Approved","2014","New houses","Number","4461"
"Number of House Loans Approved","2014","Second-hand houses","Number","27436"
"Number of House Loans Approved","2015","New houses","Number","4685"
"Number of House Loans Approved","2015","Second-hand houses","Number","27551"
"Number of House Loans Approved","2016","New houses","Number","6450"
"Number of House Loans Approved","2016","Second-hand houses","Number","28587"
"Value of House Loans Approved","1970","New houses","Euro Million","33.5"
"Value of House Loans Approved","1970","Second-hand houses","Euro Million","19.9"
"Value of House Loans Approved","1971","New houses","Euro Million","48.4"
"Value of House Loans Approved","1971","Second-hand houses","Euro Million","23.5"
"Value of House Loans Approved","1972","New houses","Euro Million","80.5"
"Value of House Loans Approved","1972","Second-hand houses","Euro Million","33"
"Value of House Loans Approved","1973","New houses","Euro Million","89"
"Value of House Loans Approved","1973","Second-hand houses","Euro Million","23.7"
"Value of House Loans Approved","1974","New houses","Euro Million","93.2"
"Value of House Loans Approved","1974","Second-hand houses","Euro Million","33.8"
"Value of House Loans Approved","1975","New houses","Euro Million","115.2"
"Value of House Loans Approved","1975","Second-hand houses","Euro Million","85.5"
"Value of House Loans Approved","1976","New houses","Euro Million","129.9"
"Value of House Loans Approved","1976","Second-hand houses","Euro Million","112.8"
"Value of House Loans Approved","1977","New houses","Euro Million","137.1"
"Value of House Loans Approved","1977","Second-hand houses","Euro Million","140.1"
"Value of House Loans Approved","1978","New houses","Euro Million","187.5"
"Value of House Loans Approved","1978","Second-hand houses","Euro Million","170.8"
"Value of House Loans Approved","1979","New houses","Euro Million","244"
"Value of House Loans Approved","1979","Second-hand houses","Euro Million","230.3"
"Value of House Loans Approved","1980","New houses","Euro Million","261.8"
"Value of House Loans Approved","1980","Second-hand houses","Euro Million","260.6"
"Value of House Loans Approved","1981","New houses","Euro Million","300.7"
"Value of House Loans Approved","1981","Second-hand houses","Euro Million","331.8"
"Value of House Loans Approved","1982","New houses","Euro Million","305"
"Value of House Loans Approved","1982","Second-hand houses","Euro Million","341.4"
"Value of House Loans Approved","1983","New houses","Euro Million","331.9"
"Value of House Loans Approved","1983","Second-hand houses","Euro Million","472"
"Value of House Loans Approved","1984","New houses","Euro Million","342.8"
"Value of House Loans Approved","1984","Second-hand houses","Euro Million","444.5"
"Value of House Loans Approved","1985","New houses","Euro Million","344.5"
"Value of House Loans Approved","1985","Second-hand houses","Euro Million","535.2"
"Value of House Loans Approved","1986","New houses","Euro Million","318.2"
"Value of House Loans Approved","1986","Second-hand houses","Euro Million","558.4"
"Value of House Loans Approved","1987","New houses","Euro Million","316"
"Value of House Loans Approved","1987","Second-hand houses","Euro Million","670.2"
"Value of House Loans Approved","1988","New houses","Euro Million","351.8"
"Value of House Loans Approved","1988","Second-hand houses","Euro Million","1078.1"
"Value of House Loans Approved","1989","New houses","Euro Million","545.6"
"Value of House Loans Approved","1989","Second-hand houses","Euro Million","1232.5"
"Value of House Loans Approved","1990","New houses","Euro Million","516.1"
"Value of House Loans Approved","1990","Second-hand houses","Euro Million","975.8"
"Value of House Loans Approved","1991","New houses","Euro Million","570.4"
"Value of House Loans Approved","1991","Second-hand houses","Euro Million","1041.4"
"Value of House Loans Approved","1992","New houses","Euro Million","702.8"
"Value of House Loans Approved","1992","Second-hand houses","Euro Million","1310.8"
"Value of House Loans Approved","1993","New houses","Euro Million","772.9"
"Value of House Loans Approved","1993","Second-hand houses","Euro Million","1388.1"
"Value of House Loans Approved","1994","New houses","Euro Million","980.9"
"Value of House Loans Approved","1994","Second-hand houses","Euro Million","1464"
"Value of House Loans Approved","1995","New houses","Euro Million","1182.1"
"Value of House Loans Approved","1995","Second-hand houses","Euro Million","1483.9"
"Value of House Loans Approved","1996","New houses","Euro Million","1659.2"
